SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/metal	DS4_METAL_GLM_MOE_ONE_STAGE_PROFILE_LAYER	layer index/list/ranges or all; unset: all layers selected by profiler	Restricts GLM one-stage MoE profiling to selected layers.	ds4_metal.m:39965
runtime/metal	DS4_METAL_GLM_MOE_STAGE_PROFILE_FILTER	substring; unset/empty: all profiled stages	Filters GLM MoE stage-profile output.	ds4_metal.m:39968
runtime/metal	DS4_METAL_GLM_QKLOW_DEBUG	presence diagnostic; unset: off; any value including 0 enables	Enables debug diagnostics for GLM qklow.	ds4_metal.m:37868
runtime/metal	DS4_METAL_GLM_STREAMING_ASYNC_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for GLM streaming async.	ds4.c:44362
runtime/metal	DS4_METAL_GLM_STREAMING_DECODE_FULL_LAYER_MAP	presence control; unset: off/default; any value including 0 enables	Maps complete GLM layers during SSD-streaming decode instead of decode-only spans.	ds4.c:42616
runtime/metal	DS4_METAL_GLM_STREAMING_DECODE_SYNC_EACH_LAYER	boolean text; Metal runtime always synchronizes and does not consult it; legacy fallback name read only in ROCm builds	Controls per-layer GLM streaming decode synchronization only as a legacy ROCm fallback alias.	ds4.c:49780
runtime/metal	DS4_METAL_GLM_STREAMING_PREFILL_FULL_LAYER	presence control; unset: off/default; any value including 0 enables	Forces full-layer GLM SSD prefill regardless of the token crossover.	ds4_metal.m:14710
runtime/metal	DS4_METAL_GLM_STREAMING_PREFILL_FULL_LAYER_MIN_TOKENS	positive uint32; default 64 on Metal, 1024 when used as ROCm fallback; 0/invalid restores default	Sets the token crossover for GLM full-layer SSD prefill.	ds4.c:42693
runtime/metal	DS4_METAL_GLM_STREAMING_PREFILL_SYNC_EACH_LAYER	boolean text; Metal runtime always synchronizes and does not consult it; legacy fallback name read only in ROCm builds	Controls per-layer GLM streaming prefill synchronization only as a legacy ROCm fallback alias.	ds4.c:42396
runtime/metal	DS4_METAL_GLM_STREAMING_TOKEN_PREFILL_MAX	uint32; default 64 on Metal, 0 when used as ROCm fallback; 0 disables; invalid restores default	Sets largest GLM SSD prefill handled token-major by the decode graph.	ds4.c:49683
runtime/metal	DS4_METAL_GLU_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the GLU Metal kernel source file loaded at runtime.	ds4_metal.m:4950
runtime/metal	DS4_METAL_GPU_BATCH_EMBED_MIN	uint32 token threshold; default 512; invalid restores default	Sets the batch size at which prompt embedding moves from CPU upload to Metal kernels.	ds4.c:28867
runtime/metal	DS4_METAL_GPU_BUSY_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for GPU busy.	ds4_metal.m:1293
runtime/metal	DS4_METAL_GRAPH_DUMP_LAYER	unsigned layer index or all; unset: every layer	Restricts graph tensor dumps to one layer.	ds4.c:16863
runtime/metal	DS4_METAL_GRAPH_DUMP_LOGITS	file path; unset/empty: no graph-logit dump	Writes Metal graph-test logits as f32 binary.	ds4.c:39080
runtime/metal	DS4_METAL_GRAPH_DUMP_NAME	substring; unset/empty: every tensor name	Restricts graph tensor dumps by tensor-name substring.	ds4.c:16859
runtime/metal	DS4_METAL_GRAPH_DUMP_POS	unsigned token position; unset: every position	Restricts graph tensor dumps to one token position.	ds4.c:16870
runtime/metal	DS4_METAL_GRAPH_DUMP_PREFIX	path/prefix; unset/empty: tensor dumping disabled	Enables graph tensor dumps and supplies the filename prefix.	ds4.c:65148
runtime/metal	DS4_METAL_GRAPH_DUMP_TRACE	presence diagnostic; unset: off; any value including 0 enables	Emits trace diagnostics for graph dump.	ds4.c:16900
runtime/metal	DS4_METAL_GRAPH_OUTPUT_ROW	zero-based row smaller than current batch; default final row; invalid restores final row	Chooses which prefill output row is projected to logits.	ds4.c:35846
runtime/metal	DS4_METAL_GRAPH_PREFILL_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for graph prefill.	ds4.c:35523
runtime/metal	DS4_METAL_GRAPH_PREFILL_SPLIT_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for graph prefill split.	ds4.c:66204
runtime/metal	DS4_METAL_GRAPH_PROMPT_TOKENS	integer 1..prompt length; default full prompt	Limits prompt length used by the Metal graph parity test.	ds4.c:39023
runtime/metal	DS4_METAL_GRAPH_RAW_CAP	positive rows; default from SWA window+prefill; clamped to [raw_window,min(ctx,8192)]	Overrides raw sliding-window KV ring capacity.	ds4.c:38390
runtime/metal	DS4_METAL_GRAPH_TEACHER_FORCE	presence control; unset: off/default; any value including 0 enables	Feeds CPU reference state back into the first-token graph trace at each layer.	ds4.c:27742
runtime/metal	DS4_METAL_GRAPH_TOKEN_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for graph token.	ds4.c:32382
runtime/metal	DS4_METAL_GRAPH_TOKEN_SECOND_SPLIT_LAYERS	integer 0..layer count; default 0 plus eligible automatic pre-M5 schedules; explicit value wins	Overrides second command-buffer split layer for token decode.	ds4.c:28029
runtime/metal	DS4_METAL_GRAPH_TOKEN_SPLIT_LAYERS	integer 0..layer count; default 4 on Apple and 0 elsewhere, with eligible pre-M5 adaptive override	Overrides first command-buffer split layer for token decode.	ds4.c:27915
runtime/metal	DS4_METAL_GRAPH_TRACE_CACHE	presence control; unset: off/default; any value including 0 enables	Prints raw KV cache parity diagnostics in the graph prompt test.	ds4.c:39092
runtime/metal	DS4_METAL_GRAPH_TRACE_COMP	presence control; unset: off/default; any value including 0 enables	Prints compressed-cache parity diagnostics in the graph prompt test.	ds4.c:39093
runtime/metal	DS4_METAL_GRAPH_TRACE_LAYERS	presence control; unset: off/default; any value including 0 enables	Enables per-layer first-token CPU/GPU graph tracing.	ds4.c:27739
runtime/metal	DS4_METAL_GRAPH_TRACE_STAGE_LAYER	signed layer index; unset gives -1/no stage-layer selection	Selects the layer used by first-token stage tracing.	ds4.c:27743
runtime/metal	DS4_METAL_HC_NORM_FUSION_CHECK	nonempty boolean; unset/empty or exact 0: off; every other value: on	Compares fused HC normalization against the reference result.	ds4.c:20521
runtime/metal	DS4_METAL_HC_NORM_FUSION_CHECK_TOL	positive finite float; default 2e-4; invalid/nonpositive restores default	Sets the numerical tolerance for the HC norm-fusion oracle.	ds4.c:20530
runtime/metal	DS4_METAL_HC_STABLE	boolean empty/1/true/yes/on vs 0/false/no/off; default on	Compiles stable hidden-context drift arithmetic into the Metal library.	ds4_metal.m:7047
runtime/metal	DS4_METAL_INDEXER_STAGE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for indexer stage.	ds4.c:17569
runtime/metal	DS4_METAL_IQ2_XXS_SSD_PREFILL_MM_STATS	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Collects/prints statistics for IQ2 XXS SSD prefill MM.	ds4_metal.m:6980
runtime/metal	DS4_METAL_KV_RAW_F32	boolean empty/1/true/yes/on vs 0/false/no/off; default off	Compiles raw KV storage as F32 for drift diagnosis.	ds4_metal.m:7049
runtime/metal	DS4_METAL_LAYER_STAGE_PROFILE	unset: off; 1/true/yes/on/all enables all layers; a layer index selects one; 0/false/no/off disables	Prints timing/profile diagnostics for layer stage.	ds4.c:65150
runtime/metal	DS4_METAL_LAYER_STAGE_PROFILE_LAYER	single unsigned layer index; unset/empty: all layers enabled by the parent profile; invalid matches no layer	Restricts the corresponding shared graph stage profiler to one layer.	ds4.c:29109
runtime/metal	DS4_METAL_MATH_SAFE	boolean empty/1/true/yes/on vs 0/false/no/off; default off	Compiles Metal shaders with strict/safe IEEE math instead of fast math.	ds4_metal.m:7051
runtime/metal	DS4_METAL_MEMORY_REPORT	presence control; unset: off/default; any value including 0 enables	Prints Metal allocation/cache/residency memory reports.	ds4.c:39047
runtime/metal	DS4_METAL_MODEL_UNTRACKED	presence control; unset: off/default; any value including 0 enables	Creates mapped model buffers with untracked Metal hazard tracking.	ds4_metal.m:1547
runtime/metal	DS4_METAL_MODEL_VIEW_MAX_GIB	positive integer GiB; default device maximum (128-GiB cap for already-split span maps); cannot exceed device maximum	Caps each no-copy mapped Metal model view.	ds4_metal.m:2216
runtime/metal	DS4_METAL_MODEL_WARMUP_STRIDE_KB	integer 1..1048576 KiB, at least one page; unset inherits MB/default; overrides STRIDE_MB	Sets the model-view warmup touch stride with KiB precision.	ds4_metal.m:3057
runtime/metal	DS4_METAL_MODEL_WARMUP_STRIDE_MB	integer 1..1024 MiB; default 1 MiB; STRIDE_KB overrides	Sets the model-view warmup touch stride.	ds4_metal.m:3049
runtime/metal	DS4_METAL_MOE_MM_ID_USE_RESOURCES	presence control; unset: off/default; any value including 0 enables	Declares MM-ID MoE resource usage explicitly on the command encoder.	ds4_metal.m:35168
runtime/metal	DS4_METAL_MOE_ONE_STAGE_PROFILE	unset: off; 1/true/yes/on/all enables all layers; accepts layer lists/ranges; 0/false/no/off disables	Prints timing/profile diagnostics for MoE one stage.	ds4.c:22714
runtime/metal	DS4_METAL_MOE_ONE_STAGE_PROFILE_LAYER	layer index/list/ranges or all; unset: all profiler-selected layers	Restricts one-stage MoE profiling to selected layers.	ds4_metal.m:43436
runtime/metal	DS4_METAL_MOE_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the MoE Metal kernel source file loaded at runtime.	ds4_metal.m:4937
runtime/metal	DS4_METAL_MOE_STAGE_PROFILE	unset: off; 1/true/yes/on/all enables all layers; accepts layer lists/ranges; 0/false/no/off disables	Prints timing/profile diagnostics for MoE stage.	ds4.c:65154
runtime/metal	DS4_METAL_MOE_STAGE_PROFILE_FILTER	substring; unset/empty: all profiled stages	Filters MoE stage-profile output.	ds4_metal.m:43438
runtime/metal	DS4_METAL_MOE_STAGE_PROFILE_LAYER	layer index/list/ranges or all; unset: all profiler-selected layers	Restricts batched MoE stage profiling to selected layers.	ds4_metal.m:45346
runtime/metal	DS4_METAL_MOE_WRITE_CLAMPED_ACT	presence control; unset: off/default; any value including 0 enables	Makes routed MoE write the clamped activation diagnostic.	ds4.c:18527
runtime/metal	DS4_METAL_NORM_RSQRT_DISABLE	boolean empty/1/true/yes/on vs 0/false/no/off; default on	Compiles unified normalization-rsqrt arithmetic into the Metal library.	ds4_metal.m:7048
runtime/metal	DS4_METAL_NORM_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the normalization Metal kernel source file loaded at runtime.	ds4_metal.m:4951
runtime/metal	DS4_METAL_NO_MODEL_WARMUP	presence rollback; unset: automatic/default path; any value including 0 disables	Disables model warmup.	ds4_metal.m:2309
runtime/metal	DS4_METAL_NO_PREFILL_KERNEL_WARMUP	presence rollback; unset: automatic/default path; any value including 0 disables	Disables prefill kernel warmup.	ds4.c:28965
runtime/metal	DS4_METAL_NO_RESIDENCY	presence rollback; unset: automatic/default path; any value including 0 disables	Disables residency.	ds4_metal.m:2092
runtime/metal	DS4_METAL_OUTPUT_STAGE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for output stage.	ds4.c:17570
runtime/metal	DS4_METAL_PREFILL_CHUNK	positive token count used only when CLI chunk is absent; default full prompt, or 4096 for long non-PRO and 8192 for long PRO prompts; <=0 keeps automatic/full prompt	Provides the historical environment fallback for prefill chunk size.	ds4.c:12802
runtime/metal	DS4_METAL_PRO_Q4_CPU_ROUTER	nonempty boolean; unset/empty or exact 0: off; every other value: on	Uses the CPU router for PRO Q4 selected-expert decode.	ds4.c:20934
runtime/metal	DS4_METAL_PRO_Q4_CPU_ROUTER_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for pro Q4 CPU router.	ds4.c:21644
runtime/metal	DS4_METAL_Q4_ADDR_USE_RESOURCES	presence control; unset: off/default; any value including 0 enables	Declares Q4 address-table resources explicitly on encoders.	ds4_metal.m:20259
runtime/metal	DS4_METAL_Q4_ATTN_Q_B_F16_CACHE_MB	integer 1..65536 MiB; default 3072; above max clamps, below min/invalid restores default	Caps copied F16 sidecar storage for resident Q4_K attn_q_b weights.	ds4_metal.m:25861; ds4_metal.m:26210
runtime/metal	DS4_METAL_Q4_ATTN_Q_B_F16_CACHE_MIN_TOKENS	integer 32..UINT32_MAX; default 512; below min/invalid restores default	Sets the minimum resident, or explicitly enabled SSD-hybrid, prefill batch that may build or use the Q4_K attn_q_b F16 sidecar; smaller tails remain non-candidates.	ds4_metal.m:25823; ds4_metal.m:26138
runtime/metal	DS4_METAL_Q4_ATTN_Q_B_F16_CACHE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints resident Q4_K attn_q_b F16 cache counters and circuit state at Metal cleanup.	ds4_metal.m:11494
runtime/metal	DS4_METAL_Q4_ATTN_Q_B_TRANSIENT_F16_MIN_TOKENS	integer token count; default 4096; invalid or values below 32 restore 4096	Sets the minimum long-N resident or SSD-streamed prefill batch eligible for per-layer transient Q4_K attn_q_b-to-F16 scratch; smaller chunks and tails stay on native Q4.	ds4_metal.m:26065; ds4_metal.m:26944
runtime/metal	DS4_METAL_Q4_EXPERT_GROUP_SIZE	positive uint32; default 32; clamped to total expert count	Sets experts processed per grouped Q4 dispatch.	ds4_metal.m:34088
runtime/metal	DS4_METAL_Q4_EXPERT_TABLE_GROUP_SIZE	integer 2..total experts; default/invalid 1 (ungrouped)	Sets grouped exact-view width while building Q4 expert tables.	ds4_metal.m:19604
runtime/metal	DS4_METAL_Q4_EXPERT_TABLE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for Q4 expert table.	ds4_metal.m:20103
runtime/metal	DS4_METAL_Q4_GROUP24_BASE_VIEWS	presence control; unset: off/default; any value including 0 enables	Uses broad base model views for Q4 group-24 instead of exact views.	ds4_metal.m:42205
runtime/metal	DS4_METAL_Q4_GROUP24_EXACT_VIEWS	presence control; unset: off/default; any value including 0 enables	Uses exact mapped views for Q4 group-24 experts.	ds4_metal.m:42204
runtime/metal	DS4_METAL_Q4_GROUPED_CACHE_VIEWS	presence control; unset: off/default; any value including 0 enables	Caches exact Q4 grouped expert views.	ds4_metal.m:42151
runtime/metal	DS4_METAL_Q4_PRO_MAP_GROUPS	positive divisor of 384 in 1..384; default/invalid 1	Splits each 384-expert PRO Q4 tensor into this many mapped views.	ds4.c:6276
runtime/metal	DS4_METAL_Q4_SELECTED_EXACT_VIEWS	presence control; unset: off/default; any value including 0 enables	Forces exact/cached views for selected Q4 experts instead of base views.	ds4_metal.m:42528
runtime/metal	DS4_METAL_Q4_SELECTED_OVERLAP_SHARED	nonempty boolean; unset/empty or exact 0: off; every other value: on	Overlaps selected Q4 expert preparation with the shared expert.	ds4.c:20962
runtime/metal	DS4_METAL_Q4_SELECTED_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for Q4 selected.	ds4.c:37944
runtime/metal	DS4_METAL_Q4_SELECTED_PROFILE_LAYER	single nonnegative layer index; unset: every layer	Restricts legacy Q4 selected-expert profiling to one layer.	ds4_metal.m:42509
runtime/metal	DS4_METAL_Q4_SELECTED_SHARED_EVENT	presence control; unset: off/default; any value including 0 enables	Coordinates selected Q4 work with a shared Metal event.	ds4_metal.m:42524
runtime/metal	DS4_METAL_Q4_SELECTED_TRANSIENT_VIEWS	presence control; unset: off/default; any value including 0 enables	Uses transient exact views for selected Q4 experts.	ds4_metal.m:42532
runtime/metal	DS4_METAL_Q4_SELECTED_USE_BASE_VIEWS	presence control; unset: off/default; any value including 0 enables	Uses broad base model views for selected Q4 experts.	ds4_metal.m:42527
runtime/metal	DS4_METAL_Q4_TABLE_BIND_ANCHORS	presence control; unset: off/default; any value including 0 enables	Binds anchor buffers alongside the Q4 expert address table.	ds4_metal.m:19716
runtime/metal	DS4_METAL_Q4_TABLE_MODEL_RESIDENCY_SET	presence control; unset: off/default; any value including 0 enables	Adds Q4 expert table allocations to the model residency set.	ds4_metal.m:19657
runtime/metal	DS4_METAL_Q4_TABLE_PER_TENSOR_RESIDENCY_SET	presence control; unset: off/default; any value including 0 enables	Builds separate residency sets per Q4 expert tensor.	ds4_metal.m:19760
runtime/metal	DS4_METAL_Q4_TABLE_QUEUE_RESIDENCY_SET	presence control; unset: off/default; any value including 0 enables	Attaches Q4 expert table residency sets to command queues.	ds4_metal.m:19615
runtime/metal	DS4_METAL_Q4_TABLE_RESIDENCY_SET	presence control; unset: off/default; any value including 0 enables	Enables Q4 expert table residency-set handling.	ds4_metal.m:19759
runtime/metal	DS4_METAL_Q4_TABLE_USE_RESOURCES	presence control; unset: off/default; any value including 0 enables	Declares Q4 table resources explicitly on encoders.	ds4_metal.m:20258
runtime/metal	DS4_METAL_Q8_DECODE_EXACT_VIEW_MAX_MIB	integer 1..4096 MiB; default 1024; above max clamps, below min/invalid restores default	Caps weight ranges eligible for Q8 exact model views.	ds4_metal.m:12876
runtime/metal	DS4_METAL_Q8_MV_EXT_MAX_TOKENS	integer 2..128; default 16; above max clamps, below min/invalid restores default	Sets largest batch handled by extended Q8 matvec.	ds4_metal.m:21126
runtime/metal	DS4_METAL_Q8_MV_NSG	integer 1..8 simdgroups; default 4, or 2 with TP world=2; above max clamps, below min/invalid restores default	Overrides simdgroups per Q8 matvec threadgroup.	ds4.c:22730
runtime/metal	DS4_METAL_Q8_PREFILL_PROFILE	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Prints timing/profile diagnostics for Q8 prefill.	ds4_metal.m:21280
runtime/metal	DS4_METAL_Q8_PREFILL_PROFILE_FILTER	substring matched against generated operation label; unset/empty: all eligible calls	Filters Q8 prefill profiling.	ds4_metal.m:21295
runtime/metal	DS4_METAL_Q_STAGE_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for q stage.	ds4.c:29270
runtime/metal	DS4_METAL_REPEAT_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the repeat Metal kernel source file loaded at runtime.	ds4_metal.m:4949
runtime/metal	DS4_METAL_REQUIRE_COMPRESSOR_EXACT_POOL_RATIO4	presence strict check; unset: fallback allowed; any value including 0 requires the path	Requires compressor exact pool ratio4 and makes eligible fallback fail closed.	ds4_metal.m:26387
runtime/metal	DS4_METAL_REQUIRE_DECODE_ARGMAX_TOP1	presence fail-closed assertion for rows of at least 4096 logits; unset permits generic fallback; any defined value including empty or 0 rejects disabled, ineligible, or failed dedicated top-1 preflight	Require the dedicated Metal top-1 reduction so correctness and performance oracles cannot silently exercise generic argsort.	ds4_metal.m:21515
runtime/metal	DS4_METAL_REQUIRE_EXACT_ROWS_PERSISTENT_CACHE	nonempty boolean; unset/empty or exact 0: off; every other value: on	Requires exact rows persistent cache and makes eligible fallback fail closed.	ds4_metal.m:13002
runtime/metal	DS4_METAL_REQUIRE_GATHERED_KV_STAGE	presence strict check; unset: fallback allowed; any value including 0 requires the path	Requires gathered KV stage and makes eligible fallback fail closed.	ds4_metal.m:29680
runtime/metal	DS4_METAL_REQUIRE_IQ2_XXS_SSD_PREFILL_MM	value-aware boolean; default implicit fail-closed only with complete selected-address domain; explicit 1 is strict, 0 permits fallback	Makes eligible IQ2_XXS/Q2_K grouped SSD-prefill MM fail closed.	ds4_metal.m:44782
runtime/metal	DS4_METAL_REQUIRE_M1_IQ2_MID_ONLY	presence strict check; unset: fallback allowed; any value including 0 requires the path	Requires M1 IQ2 mid only and makes eligible fallback fail closed.	ds4_metal.m:42074
runtime/metal	DS4_METAL_REQUIRE_OUTPUT_HC_WEIGHTS4	presence strict check; unset: fallback allowed; any value including 0 requires the path	Requires output HC weights4 and makes eligible fallback fail closed.	ds4_metal.m:46789
runtime/metal	DS4_METAL_REQUIRE_PRE_M5_BATCH_ATTN_OUT_HC_FUSION	presence strict check; unset permits fallback; any value including 0 requires the exact resident Q8_0 output-B-to-HC4 tail	Fail closed instead of replaying the separate Q8 output-B and HC path when the fused candidate is ineligible or fails.	ds4_metal.m:30536
runtime/metal	DS4_METAL_REQUIRE_Q4_ATTN_OUT_A_DIRECT	presence strict check; unset permits the automatic path or fallback; any defined value including 0 requires the direct kernel and DISABLE wins	Require the bit-identical fixed-route Q4 attention output-A kernel and fail closed before dispatch when its production contract is unavailable.	ds4_metal.m:31560
runtime/metal	DS4_METAL_REQUIRE_Q4_ATTN_OUT_B_F16_RHS	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Requires the resident pre-M5 Q4 attention output-B F16 RHS path and makes an ineligible or disabled candidate fail closed.	ds4_metal.m:28551
runtime/metal	DS4_METAL_REQUIRE_Q4_ATTN_OUT_TINY_BATCH	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Requires Q4 attn out tiny batch and makes eligible fallback fail closed.	ds4_metal.m:28373
runtime/metal	DS4_METAL_REQUIRE_Q4_ATTN_Q_B_F16_CACHE	value-aware boolean; unset/0: fallback allowed; empty/1/true/yes/on requires; DISABLE fails closed	Requires the sidecar for resident, or explicitly enabled SSD-hybrid, pre-M5 Q4_K Flash attn_q_b batches at or above the configured minimum; decode and below-min batches remain non-candidates.	ds4_metal.m:25801; ds4_metal.m:26129; ds4_metal.m:26704
runtime/metal	DS4_METAL_REQUIRE_Q4_BATCH_ATTN_OUT_HC_FUSION	presence strict check; unset permits fallback; any value including 0 requires the exact resident Q4_K/F16-RHS output-B-to-HC4 tail	Fail closed instead of replaying the separate Q4 output-B and HC path when the fused candidate is ineligible or fails.	ds4_metal.m:31455
runtime/metal	DS4_METAL_REQUIRE_Q4_PREFILL_PAIR_F16_RHS	value-aware strict opt-in; unset/0/false/no/off is off; empty/1/true/yes/on or another nonempty value requires the candidate for prefill pair calls; unsupported device/shape, DISABLE, or an attempted-path error fails closed	Require the Apple M1-M4 shared-F16-RHS q_a/KV Q4_K prefill pair instead of silently running two standalone matmuls.	ds4_metal.m:22913
runtime/metal	DS4_METAL_REQUIRE_Q4_SSD_PREFILL_ATTN_OUT_EXACTN	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Requires Q4 SSD prefill attn out exactn and makes eligible fallback fail closed.	ds4_metal.m:28089
runtime/metal	DS4_METAL_REQUIRE_Q4_SSD_PREFILL_ATTN_OUT_SCALE_META	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Requires shared scale/min metadata in the Q4 SSD prefill attention-output exact-N kernel and makes fallback fail closed.	ds4_metal.m:28209
runtime/metal	DS4_METAL_REQUIRE_Q4_SSD_SESSION_UNION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Requires Q4 SSD session union and makes eligible fallback fail closed.	ds4.c:65164
runtime/metal	DS4_METAL_REQUIRE_Q8_QKV_COMPRESSOR_FUSE	nonempty boolean; unset/empty/exact 0: fallback allowed; other values require and imply the streamed/union enable	Requires eligible Q8 QKV/compressor compound fusion and fails closed.	ds4.c:23023
runtime/metal	DS4_METAL_RESUME_PREFILL_MIN	integer token threshold; default 4; <=0 disables resume-prefill	Sets the minimum shared-prefix suffix that uses batched resume-prefill.	ds4.c:38419
runtime/metal	DS4_METAL_ROPE_EXP2_LOG2	boolean empty/1/true/yes/on vs 0/false/no/off; default off	Compiles the exp2/log2 RoPE drift variant.	ds4_metal.m:7050
runtime/metal	DS4_METAL_SELECTED_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for selected.	ds4.c:37943
runtime/metal	DS4_METAL_SELECTED_PROFILE_LAYER	single nonnegative layer index; unset: every layer	Restricts selected-expert profiling to one layer.	ds4_metal.m:42507
runtime/metal	DS4_METAL_SESSION_BATCH_LOG	presence diagnostic; unset: off; any value including 0 enables	Logs session batch decisions.	ds4.c:66168
runtime/metal	DS4_METAL_SESSION_BATCH_QKV	default enabled; exact 0 disables; every other value/unset leaves enabled	Controls native batched QKV work for multi-session decode.	ds4.c:65482
runtime/metal	DS4_METAL_SESSION_BATCH_SHARED	default enabled; exact 0 disables; every other value/unset leaves enabled	Controls native batched shared-expert work for multi-session decode.	ds4.c:65432
runtime/metal	DS4_METAL_SET_ROWS_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the set-rows Metal kernel source file loaded at runtime.	ds4_metal.m:4953
runtime/metal	DS4_METAL_SOFTMAX_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the softmax Metal kernel source file loaded at runtime.	ds4_metal.m:4948
runtime/metal	DS4_METAL_STREAMING_DECODE_PREFILL_MAX	integer token maximum; default 64 for wide Flash Q4/MXFP4, 18 for other PRO/Flash, 0 otherwise; <=0 disables	Sets maximum SSD-streaming micro-prefill width that reuses decode.	ds4.c:31962
runtime/metal	DS4_METAL_STREAMING_EXPERT_AUTO_PRELOAD_CAP	uint32 expert cap; default 4096; 0 means unlimited; invalid restores default	Caps automatic streaming-expert hotlist preload.	ds4.c:21455
runtime/metal	DS4_METAL_STREAMING_EXPERT_BUFFER_MLOCK_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming expert buffer mlock.	ds4_metal.m:13997
runtime/metal	DS4_METAL_STREAMING_EXPERT_EARLY_LOAD_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming expert early load.	ds4_metal.m:17059
runtime/metal	DS4_METAL_STREAMING_EXPERT_EVICT_DONTNEED_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming expert evict dontneed.	ds4_metal.m:14436
runtime/metal	DS4_METAL_STREAMING_EXPERT_HOTLIST	hotlist file path; unset/empty: built-in model hotlist	Loads the streaming-expert preload order from a file.	ds4.c:21495
runtime/metal	DS4_METAL_STREAMING_EXPERT_HOTLIST_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming expert hotlist.	ds4.c:32245
runtime/metal	DS4_METAL_STREAMING_EXPERT_LAYER_STATS	presence diagnostic; unset: off; any value including 0 enables	Collects/prints statistics for streaming expert layer.	ds4_metal.m:4638
runtime/metal	DS4_METAL_STREAMING_EXPERT_LAYER_STATS_DELTA	presence control; unset: off/default; any value including 0 enables	Prints delta statistics for streaming expert layer.	ds4_metal.m:4675
runtime/metal	DS4_METAL_STREAMING_EXPERT_NOCACHE	nonempty value whose first character is not 0 enables; unset/empty/0 disables	Uses a reopened F_NOCACHE descriptor for SSD expert preads.	ds4_metal.m:12602
runtime/metal	DS4_METAL_STREAMING_EXPERT_PREAD_POOL	default enabled; exact 0 disables; every other value/unset keeps enabled	Controls reuse of persistent expert-pread worker threads.	ds4_metal.m:13433
runtime/metal	DS4_METAL_STREAMING_EXPERT_PREAD_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming expert pread.	ds4_metal.m:17005
runtime/metal	DS4_METAL_STREAMING_EXPERT_PREAD_SPLIT	integer clamped 1..8; unset: automatic 1 below 64 cache experts, 4 at 64+	Sets aligned requests per expert pread.	ds4_metal.m:13701
runtime/metal	DS4_METAL_STREAMING_EXPERT_PREAD_THREADS	unsigned integer clamped 1..18; default 9; invalid restores 9	Sets expert-pread worker limit.	ds4_metal.m:13337
runtime/metal	DS4_METAL_STREAMING_EXPERT_PROFILE_SUMMARY	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming expert.	ds4_metal.m:13061
runtime/metal	DS4_METAL_STREAMING_EXPERT_SLAB_MB	positive unsigned MiB; default 4096; 0/invalid restores default	Sets target allocation size for streaming-expert slabs.	ds4_metal.m:14039
runtime/metal	DS4_METAL_STREAMING_EXPERT_SPLIT_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for streaming expert split.	ds4_metal.m:43810
